ID	Name	Description
430	抱住寶藏	(適用於武器)(無法堆疊)[最大魔力 +450] 
431	聖騎士的	[最大生命 +25] [最大魔力 +5%] 
432	守護封印	[防禦力 +5%] [最大生命 +5%] 
433	善良的	[最大生命 +5%] [道具冷卻時間 -5%] 
434	彗星佩可的	(適用於飾品)[使魔的移動速度 +5%] 
435	不幸地	(適用於飾品)[最大生命 -9%] [使魔的ATK +4%] [使魔的暴擊幾率 +4%] (適用於消耗品)[效果量: +4%] [魔力回復:0.04] 
436	凶兆的	(適用於飾品)[最大生命 -9%] [使魔的ATK +9%] [使魔的暴擊幾率 +9%] (適用於消耗品)[效果量: +9%] [魔力回復:0.09] 
437	墜落星體的	(適用於飾品)[最大生命 -9%] [使魔的ATK +13%] [使魔的暴擊幾率 +13%] (適用於消耗品)[效果量: +13%] [魔力回復:0.13] 
438	紅色流星的	(適用於飾品)(無法堆疊)[使魔的DEF -33%] [使魔的暴擊傷害倍率 +33%] [使魔的移動速度 +33%] (適用於消耗品)[生命傷害:0.33] [飽食度增加:0.33] 
439	傾盆而下的	[防禦力 +50] [最大生命 +5%] 
440	星塵的	[防禦力 +100] [最大生命 +1%] 
441	劃破星際的	[防禦力 +50] [最大生命 +8%] 
442	流星的	[防禦力 +150] [最大生命 +1%] 
443	帶來偽晝的	[防禦力 +50] [最大生命 +10%] 
444	流星雨的	[防禦力 +200] [最大生命 +1%] 
445	適者生存的	(無法堆疊)[防禦力 +250] [最大生命 +20%] 
446	懷柔的	[攻擊力 +30] [攻擊力 +1%] [防禦力 -100] 
447	洗腦的	[攻擊力 +40] [攻擊力 +1%] [防禦力 -100] 
448	操偶的	[攻擊力 +50] [攻擊力 +1%] [防禦力 -100] 
449	群中暗處的	(無法堆疊)[攻擊力 +150] [防禦力 -10%] 
450	暗中活躍的	(無法堆疊)[攻擊力 +10%] [防禦力 -10%] 
451	處刑者的黑幕	(無法堆疊)[攻擊力 +150] [攻擊力 +10%] [防禦力 -20%] 
452	異端的	[魔法攻擊力 +20] [魔法攻擊力 +1%] [魔力消耗量 +10%] 
453	抗晝的	[魔法攻擊力 +30] [魔法攻擊力 +1%] [魔力消耗量 +10%] 
454	玉輪的	[魔法攻擊力 +40] [魔法攻擊力 +10%] [魔力消耗量 +10%] 
455	月光下的	(無法堆疊)[魔法攻擊力 +120] [魔力消耗量 +25%] 
456	瘋癲的	(無法堆疊)[魔法攻擊力 +10%] [魔力消耗量 +25%] 
457	狂噬的	(無法堆疊)[魔法攻擊力 +150] [魔法攻擊力 +5%] [魔力消耗量 +50%] 
458	不屈的	(無法堆疊)[防禦力 +250] [防禦力 -35%] [增加防禦力 +100%的攻擊力] [增加防禦力 +100%的魔法攻擊] 
459	生氣的	(適用於飾品)[使魔的ATK +5%] [使魔的暴擊傷害倍率 +5%] (適用於消耗品)[效果量: +5%] [飽食度增加:0.05] 
460	肌肉腦的	[體力消耗量 +12%] [攻擊速度 +4%] [提升物理傷害 +10%] [提升弓箭傷害 -4%] [提升技能傷害 -4%] 
461	完成的	[體力消耗量 +18%] [攻擊速度 +6%] [提升物理傷害 +15%] [提升弓箭傷害 -6%] [提升技能傷害 -6%] 
462	力量主義的	[體力消耗量 +24%] [攻擊速度 +8%] [提升物理傷害 +20%] [提升弓箭傷害 -8%] [提升技能傷害 -8%] 
463	肌肉發達	[體力消耗量 +30%] [攻擊速度 +10%] [提升物理傷害 +25%] [提升弓箭傷害 -10%] [提升技能傷害 -10%] 
464	勇猛的	[物理暴擊倍率 +12%] [體力消耗量 +15%] [魔力消耗量 +25%] [技能冷卻時間 +25%] [物理暴擊率 +5%] 
465	狂戰士的	[物理暴擊倍率 +25%] [體力消耗量 +30%] [魔力消耗量 +50%] [技能冷卻時間 +50%] [物理暴擊率 +10%] 
466	蓬鬆的	[最大生命 +20%] [最大魔力 -20%] 
467	雄偉的	(適用於飾品)[使魔的暴擊傷害倍率 +10%] (適用於消耗品)[飽食度增加:0.1] 
468	授予翅膀的	[體力消耗量 -5%] [體力自然回復量 -5%] [空中移動速度 +10%] 
469	晃動的	[攻擊力 +1%] [魔法攻擊力 +1%] [攻擊速度 -10%] 
470	起伏的	[攻擊力 +2%] [魔法攻擊力 +2%] [攻擊速度 -10%] 
471	扭動的	[攻擊力 +3%] [魔法攻擊力 +3%] [攻擊速度 -10%] 
472	蠕動的	[攻擊力 +5%] [魔法攻擊力 +5%] [攻擊速度 -10%] 
473	莽撞的	(適用於飾品)[使魔的ATK +10%] [使魔的DEF -5%] [使魔的移動速度 +5%] (適用於消耗品)[效果量: +10%] [生命傷害:0.05] 
474	嗚呵	[攻擊力 +30] [體力消耗量 +5%] [體力自然回復量 +5%] [提升弓箭傷害 -3%] [提升技能傷害 -3%] 
475	嗚呵呵	[攻擊力 +60] [體力消耗量 +10%] [體力自然回復量 +10%] [提升弓箭傷害 -6%] [提升技能傷害 -6%] 
476	嗚呵呵呵	[攻擊力 +90] [體力消耗量 +15%] [體力自然回復量 +15%] [提升弓箭傷害 -9%] [提升技能傷害 -9%] 
477	嗚呵呵呵呵	[攻擊力 +120] [體力消耗量 +20%] [體力自然回復量 +20%] [提升弓箭傷害 -12%] [提升技能傷害 -12%] 
478	激發戰意的	[最大魔力 +10] [最大魔力 +1%] 
479	怒火中燒的	[最大魔力 +10] [最大魔力 +2%] 
480	燃起鬥志的	[最大魔力 +10] [最大魔力 +3%] 
481	燃燒鬥魂的	[最大魔力 +10] [最大魔力 +5%] 
482	加入部落	[最大魔力 -2%] [物理暴擊倍率 +6%] 
483	支撐部落	[最大魔力 -4%] [物理暴擊倍率 +11%] 
484	搶佔部落	[最大魔力 -6%] [物理暴擊倍率 +17%] 
485	部落首領	[最大魔力 -8%] [物理暴擊倍率 +22%] 
486	有價價的	[販售價格 +50%] 
487	罕見的	[販售價格 +100%] 
488	貴重的	[販售價格 +150%] 
489	秘寶的	[販售價格 +200%] 
490	探險家的	(適用於飾品)[移動速度 +5%] [空中移動速度 +5%] [使魔的移動速度 +5%] 
491	大發現的	(適用於飾品)
492	科學家的	[最大魔力 +50] [魔法暴擊倍率 +5%] 
493	瘋狂的	[魔法暴擊率 +1%] [增加魔力 +10%的魔法攻擊力] 
494	釣魚白痴的	[技能冷卻時間 -5%] [移動速度 +5%] 
496	淘金熱的	[攻擊速度 +7%] 
497	上級聖騎士的	[最大生命 +30] [最大魔力 +5%] 
501	美味的	(適用於消耗品)[生命回復:100] 
503	貴族青蛙的	[體力自然回復量 +5%] [空中移動速度 +10%] [攻擊速度 +5%] 
504	高貴的	[攻擊力 +4%] [魔法攻擊力 +4%] [最大魔力 +4%] [最大飽食度 -10] [體力消耗量 -4%] 
505	尊貴高雅的	[攻擊力 +8%] [魔法攻擊力 +8%] [最大魔力 +8%] [最大飽食度 -10] [體力消耗量 -8%] 
507	大公爵的	[攻擊力 +15%] [魔法攻擊力 +15%] [最大魔力 +15%] [最大飽食度 -20] [體力消耗量 -10%] 
508	巫師的	[魔力消耗量 -5%] [魔力自然回復量 +1%] 
509	初出茅廬的	[魔法攻擊力 +10] [最大魔力 +15] 
510	修行者的	[魔法攻擊力 +15] [最大魔力 +20] 
511	覺醒的	[魔法攻擊力 +20] [最大魔力 +25] 
512	大魔導士的	[魔法攻擊力 +40] [最大魔力 +50] [魔力消耗量 -10%] 
513	薩堤爾的	[防禦力 +150] [體力消耗量 -5%] [移動速度 +5%] 
514	粗魯的	[攻擊力 +20] [防禦力 -150] [魔法攻擊力 +15] 
515	兇暴的	[攻擊力 +25] [防禦力 -200] [魔法攻擊力 +20] 
516	激情的	[攻擊力 +30] [防禦力 -250] [魔法攻擊力 +25] 
517	翻天覆地的	[攻擊力 +30%] [防禦力 -30%] [魔法攻擊力 +20%] [最大生命 -20%] 
518	巨人的	[攻擊力 +10] [防禦力 +50] [物理暴擊率 +10%] 
519	野蠻人的	[攻擊力 +40] [移動速度 -5%] [攻擊速度 -30%] 
520	騎士的	[攻擊力 +50] [移動速度 -5%] [攻擊速度 -30%] 
521	不朽的	[攻擊力 +60] [移動速度 -5%] [攻擊速度 -30%] 
522	克魯匹亞的	[攻擊力 +40%] [飽足度消耗量 +20%] [體力消耗量 +20%] [魔力消耗量 +20%] [移動速度 -10%] [攻擊速度 -60%] 
523	格雷姆林的	[最大生命 +20] 
524	厭光的	[物理暴擊倍率 +4%] 
525	厭水的	[物理暴擊倍率 +6%] 
526	禁止餵食的	[物理暴擊倍率 +8%] 
527	條紋的	[物理暴擊倍率 +10%] [魔法暴擊倍率 +10%] 
